name,technology,bidding_energy,bidding_capacity_pos,bidding_capacity_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,fixed_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator,variable_cost
Wind onshore,wind_onshore,flexable_eom,-,-,renewable,0,2693,0,1,-,-,0,0,0,0,0,0,0,0,renewables_operator,0.612
Wind offshore,wind_offshore,flexable_eom,-,-,renewable,0,374,0,1,-,-,0,0,0,0,0,0,0,0,renewables_operator,0.968
Solar,solar,flexable_eom,-,-,renewable,0,2846,0,1,-,-,0,0,0,0,0,0,0,0,renewables_operator,0.726
Hydro,hydro,flexable_eom,-,-,renewable,0,235,0,1,-,-,0,0,0,0,0,0,0,0,renewables_operator,50
Biomass,biomass,flexable_eom,-,-,renewable,0,456,0,1,-,-,0,0,0,0,0,0,0,0,renewables_operator,
nuclear_unit,nuclear,flexable_eom,-,-,uranium,0,197,80,0.33,120,120,10.3,140,140,140,72,10,no,0,RWE POWER AG,
lignite_unit,lignite,flexable_eom,-,-,lignite,0.406,907,460,0.415,480,480,1.65,30.4,47.5,69.3,10,7,yes,65,VATTENFALL EUROPE AG,
coal_unit,hard coal,flexable_eom,-,-,hard coal,0.335,912,370,0.452,620,620,1.3,30.4,47.5,69.3,7,6,yes,220,ENBW ENERGIE BADEN-WURTTEMBERG,
open_gas_unit,open cycle gas turbine,flexable_eom,-,-,natural gas,0.201,890,115,0.363,455,455,5.5,17.1,21.8,29.6,0,0,no,0,UNIPER,
combined_gas_unit,combined cycle gas turbine,flexable_eom,-,-,natural gas,0.201,650,240,0.59,490,490,3.5,24.1,34.2,46.7,5,3,no,0,UNIPER,
oil_unit,oil,flexable_eom,-,-,oil,0.776,225,33,0.298,123,123,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,
