datetime,EOM,EOM_sell
01/01/2019 00:00,130.92,62.88
01/01/2019 01:00,130.92,62.88
01/01/2019 02:00,130.92,62.88
01/01/2019 03:00,130.92,62.88
01/01/2019 04:00,130.92,62.88
01/01/2019 05:00,130.92,62.88
01/01/2019 06:00,130.92,62.88
01/01/2019 07:00,130.92,62.88
01/01/2019 08:00,130.92,62.88
01/01/2019 09:00,130.92,62.88
01/01/2019 10:00,130.92,62.88
01/01/2019 11:00,130.92,62.88
01/01/2019 12:00,130.92,62.88
01/01/2019 13:00,130.92,62.88
01/01/2019 14:00,130.92,62.88
01/01/2019 15:00,130.92,62.88
01/01/2019 16:00,130.92,62.88
01/01/2019 17:00,130.92,62.88
01/01/2019 18:00,130.92,62.88
01/01/2019 19:00,130.92,62.88
01/01/2019 20:00,130.92,62.88
01/01/2019 21:00,130.92,62.88
01/01/2019 22:00,130.92,62.88
01/01/2019 23:00,130.92,62.88
01/02/2019 00:00,130.92,62.88
01/02/2019 01:00,130.92,62.88
01/02/2019 02:00,130.92,62.88
01/02/2019 03:00,130.92,62.88
01/02/2019 04:00,130.92,62.88
01/02/2019 05:00,130.92,62.88
01/02/2019 06:00,130.92,62.88
01/02/2019 07:00,130.92,62.88
01/02/2019 08:00,130.92,62.88
01/02/2019 09:00,130.92,62.88
01/02/2019 10:00,130.92,62.88
01/02/2019 11:00,130.92,62.88
01/02/2019 12:00,130.92,62.88
01/02/2019 13:00,130.92,62.88
01/02/2019 14:00,130.92,62.88
01/02/2019 15:00,130.92,62.88
01/02/2019 16:00,130.92,62.88
01/02/2019 17:00,130.92,62.88
01/02/2019 18:00,130.92,62.88
01/02/2019 19:00,130.92,62.88
01/02/2019 20:00,130.92,62.88
01/02/2019 21:00,130.92,62.88
01/02/2019 22:00,130.92,62.88
01/02/2019 23:00,130.92,62.88
01/03/2019 00:00,130.92,62.88
01/03/2019 01:00,130.92,62.88
01/03/2019 02:00,130.92,62.88
01/03/2019 03:00,130.92,62.88
01/03/2019 04:00,130.92,62.88
01/03/2019 05:00,130.92,62.88
01/03/2019 06:00,130.92,62.88
01/03/2019 07:00,130.92,62.88
01/03/2019 08:00,130.92,62.88
01/03/2019 09:00,130.92,62.88
01/03/2019 10:00,130.92,62.88
01/03/2019 11:00,130.92,62.88
01/03/2019 12:00,130.92,62.88
01/03/2019 13:00,130.92,62.88
01/03/2019 14:00,130.92,62.88
01/03/2019 15:00,130.92,62.88
01/03/2019 16:00,130.92,62.88
01/03/2019 17:00,130.92,62.88
01/03/2019 18:00,130.92,62.88
