datetime,demand_north,demand_east,demand_west,demand_CRM_pos,demand_CRM_neg
1/1/2023 0:00,10,10,35,100,100
1/1/2023 1:00,10,10,35,100,100
1/1/2023 2:00,10,10,35,100,100
1/1/2023 3:00,10,10,35,100,100
1/1/2023 4:00,10,10,35,100,100
1/1/2023 5:00,10,10,35,100,100
1/1/2023 6:00,10,10,35,100,100
1/1/2023 7:00,10,10,35,100,100
1/1/2023 8:00,10,10,35,100,100
1/1/2023 9:00,10,10,35,100,100
1/1/2023 10:00,10,10,35,100,100
1/1/2023 11:00,10,10,35,100,100
1/1/2023 12:00,10,10,35,100,100
1/1/2023 13:00,10,10,35,100,100
1/1/2023 14:00,10,10,35,100,100
1/1/2023 15:00,10,10,35,100,100
1/1/2023 16:00,10,10,35,100,100
1/1/2023 17:00,10,10,35,100,100
1/1/2023 18:00,10,10,35,100,100
1/1/2023 19:00,10,10,35,100,100
1/1/2023 20:00,10,10,35,100,100
1/1/2023 21:00,10,10,35,100,100
1/1/2023 22:00,10,10,35,100,100
1/1/2023 23:00,10,10,35,100,100
1/2/2023 0:00,10,10,35,100,100
1/2/2023 1:00,10,10,35,100,100
1/2/2023 2:00,10,10,35,100,100
1/2/2023 3:00,10,10,35,100,100
1/2/2023 4:00,10,10,35,100,100
1/2/2023 5:00,10,10,35,100,100
1/2/2023 6:00,10,10,35,100,100
1/2/2023 7:00,10,10,35,100,100
1/2/2023 8:00,10,10,35,100,100
1/2/2023 9:00,10,10,35,100,100
1/2/2023 10:00,10,10,35,100,100
1/2/2023 11:00,10,10,35,100,100
1/2/2023 12:00,10,10,35,100,100
1/2/2023 13:00,10,10,35,100,100
1/2/2023 14:00,10,10,35,100,100
1/2/2023 15:00,10,10,35,100,100
1/2/2023 16:00,10,10,35,100,100
1/2/2023 17:00,10,10,35,100,100
1/2/2023 18:00,10,10,35,100,100
1/2/2023 19:00,10,10,35,100,100
1/2/2023 20:00,10,10,35,100,100
1/2/2023 21:00,10,10,35,100,100
1/2/2023 22:00,10,10,35,100,100
1/2/2023 23:00,10,10,35,100,100
1/3/2023 0:00,10,10,35,100,100
1/3/2023 1:00,10,10,35,100,100
1/3/2023 2:00,10,10,35,100,100
1/3/2023 3:00,10,10,35,100,100
1/3/2023 4:00,10,10,35,100,100
1/3/2023 5:00,10,10,35,100,100
1/3/2023 6:00,10,10,35,100,100
1/3/2023 7:00,10,10,35,100,100
1/3/2023 8:00,10,10,35,100,100
1/3/2023 9:00,10,10,35,100,100
1/3/2023 10:00,10,10,35,100,100
1/3/2023 11:00,10,10,35,100,100
1/3/2023 12:00,10,10,35,100,100
1/3/2023 13:00,10,10,35,100,100
1/3/2023 14:00,10,10,35,100,100
1/3/2023 15:00,10,10,35,100,100
1/3/2023 16:00,10,10,35,100,100
1/3/2023 17:00,10,10,35,100,100
1/3/2023 18:00,10,10,40,100,100
1/3/2023 19:00,10,10,40,100,100
1/3/2023 20:00,10,10,40,100,100
1/3/2023 21:00,10,10,40,100,100
1/3/2023 22:00,10,10,40,100,100
1/3/2023 23:00,10,10,40,100,100
1/4/2023 0:00,10,10,40,100,100
1/4/2023 1:00,10,10,40,100,100
1/4/2023 2:00,10,10,40,100,100
1/4/2023 3:00,10,10,40,100,100
1/4/2023 4:00,10,10,40,100,100
1/4/2023 5:00,10,10,40,100,100
1/4/2023 6:00,10,10,40,100,100
1/4/2023 7:00,10,10,40,100,100
1/4/2023 8:00,10,10,40,100,100
1/4/2023 9:00,10,10,40,100,100
1/4/2023 10:00,10,10,40,100,100
1/4/2023 11:00,10,10,40,100,100
1/4/2023 12:00,10,10,40,100,100
1/4/2023 13:00,10,10,40,100,100
1/4/2023 14:00,10,10,40,100,100
1/4/2023 15:00,10,10,40,100,100
1/4/2023 16:00,10,10,40,100,100
1/4/2023 17:00,10,10,40,100,100
1/4/2023 18:00,10,10,40,100,100
1/4/2023 19:00,10,10,40,100,100
1/4/2023 20:00,10,10,40,100,100
1/4/2023 21:00,10,10,40,100,100
1/4/2023 22:00,10,10,40,100,100
1/4/2023 23:00,10,10,40,100,100
1/5/2023 0:00,10,10,40,100,100
1/5/2023 1:00,10,10,40,100,100
1/5/2023 2:00,10,10,40,100,100
1/5/2023 3:00,10,10,40,100,100
1/5/2023 4:00,10,10,40,100,100
1/5/2023 5:00,10,10,40,100,100
1/5/2023 6:00,10,10,40,100,100
1/5/2023 7:00,10,10,40,100,100
1/5/2023 8:00,10,10,40,100,100
1/5/2023 9:00,10,10,40,100,100
1/5/2023 10:00,10,10,40,100,100
1/5/2023 11:00,10,10,40,100,100
1/5/2023 12:00,10,10,40,100,100
1/5/2023 13:00,10,10,40,100,100
1/5/2023 14:00,10,10,40,100,100
1/5/2023 15:00,10,10,40,100,100
1/5/2023 16:00,10,10,40,100,100
1/5/2023 17:00,10,10,40,100,100
1/5/2023 18:00,10,10,40,100,100
1/5/2023 19:00,10,10,40,100,100
1/5/2023 20:00,10,10,40,100,100
