name,technology,bidding_EOM,bidding_redispatch,max_power,min_power,node,unit_operator
DE10-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,2,eom_de
DE100-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,4,eom_de
DE102-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,6,eom_de
DE103-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,7,eom_de
DE104-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,8,eom_de
DE105-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,9,eom_de
DE106-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,10,eom_de
DE107-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,12,eom_de
DE108-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,13,eom_de
DE109-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,14,eom_de
DE11-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,15,eom_de
DE110-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,17,eom_de
DE111-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,18,eom_de
DE112-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,19,eom_de
DE113-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,20,eom_de
DE114-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,21,eom_de
DE117-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,22,eom_de
DE118-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,23,eom_de
DE119-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,24,eom_de
DE12-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,25,eom_de
DE121-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,26,eom_de
DE122-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,27,eom_de
DE124-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,28,eom_de
DE125-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,30,eom_de
DE126-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,31,eom_de
DE127-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,32,eom_de
DE128-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,33,eom_de
DE129-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,34,eom_de
DE13-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,35,eom_de
DE130-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,36,eom_de
DE131-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,37,eom_de
DE132-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,38,eom_de
DE133-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,39,eom_de
DE134-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,40,eom_de
DE135-220,inflex_demand,naive_eom,naive_redispatch,1000000,0,41,eom_de
DE136-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,42,eom_de
DE137-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,44,eom_de
DE138-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,46,eom_de
DE139-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,48,eom_de
DE14-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,49,eom_de
DE140-380,inflex_demand,naive_eom,naive_redispatch,1000000,0,50,eom_de
