,electricity_price,total_power,variable_cost,variable_revenue,net_income,marginal_cost
timestep_0,25.0,0.0,0.0,0.0,0.0,0.0
timestep_1,25.0,0.0,0.0,0.0,0.0,0.0
timestep_2,25.0,0.0,0.0,0.0,0.0,0.0
timestep_3,25.0,0.0,0.0,0.0,0.0,0.0
timestep_4,25.0,0.0,0.0,0.0,0.0,0.0
timestep_5,25.0,0.0,0.0,0.0,0.0,0.0
timestep_6,25.0,0.0,0.0,0.0,0.0,0.0
timestep_7,25.0,0.0,0.0,0.0,0.0,0.0
timestep_8,25.0,0.0,0.0,0.0,0.0,0.0
timestep_9,25.0,0.0,0.0,0.0,0.0,0.0
timestep_10,25.0,0.0,0.0,0.0,0.0,0.0
timestep_11,25.0,0.0,0.0,0.0,0.0,0.0
timestep_12,25.0,0.0,0.0,0.0,0.0,0.0
timestep_13,25.0,0.0,0.0,0.0,0.0,0.0
timestep_14,25.0,0.0,0.0,0.0,0.0,0.0
timestep_15,25.0,0.0,0.0,0.0,0.0,0.0
timestep_16,25.0,0.0,0.0,0.0,0.0,0.0
timestep_17,25.0,0.0,0.0,0.0,0.0,0.0
timestep_18,25.0,0.0,0.0,0.0,0.0,0.0
timestep_19,25.0,0.0,0.0,0.0,0.0,0.0
timestep_20,25.0,0.0,0.0,0.0,0.0,0.0
timestep_21,25.0,0.0,0.0,0.0,0.0,0.0
timestep_22,25.0,0.0,0.0,0.0,0.0,0.0
timestep_23,25.0,0.0,0.0,0.0,0.0,0.0
