start_time,accepted_price,accepted_volume,bid_id,bid_type,end_time,market_id,max_power,min_power,node,price,simulation,unit_id,volume
2023-01-02 00:00:00,100,31,Unit 1_1,,2023-01-02 01:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 00:00:00,100,19,Unit 2_1,,2023-01-02 01:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 01:00:00,102.26,31,Unit 1_2,,2023-01-02 02:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 01:00:00,102.26,19,Unit 2_2,,2023-01-02 02:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 01:00:00,102.26,5,Unit 3_2,,2023-01-02 02:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 02:00:00,100,31,Unit 1_3,,2023-01-02 03:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 02:00:00,100,19,Unit 2_3,,2023-01-02 03:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 03:00:00,102.26,31,Unit 1_4,,2023-01-02 04:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 03:00:00,102.26,19,Unit 2_4,,2023-01-02 04:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 03:00:00,102.26,5,Unit 3_4,,2023-01-02 04:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 04:00:00,100,31,Unit 1_5,,2023-01-02 05:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 04:00:00,100,19,Unit 2_5,,2023-01-02 05:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 05:00:00,102.26,31,Unit 1_6,,2023-01-02 06:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 05:00:00,102.26,19,Unit 2_6,,2023-01-02 06:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 05:00:00,102.26,5,Unit 3_6,,2023-01-02 06:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 06:00:00,100,31,Unit 1_7,,2023-01-02 07:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 06:00:00,100,19,Unit 2_7,,2023-01-02 07:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 07:00:00,102.26,31,Unit 1_8,,2023-01-02 08:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 07:00:00,102.26,19,Unit 2_8,,2023-01-02 08:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 07:00:00,102.26,5,Unit 3_8,,2023-01-02 08:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 08:00:00,100,31,Unit 1_9,,2023-01-02 09:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 08:00:00,100,19,Unit 2_9,,2023-01-02 09:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 09:00:00,102.26,31,Unit 1_10,,2023-01-02 10:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 09:00:00,102.26,19,Unit 2_10,,2023-01-02 10:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 09:00:00,102.26,5,Unit 3_10,,2023-01-02 10:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 10:00:00,100,31,Unit 1_11,,2023-01-02 11:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 10:00:00,100,19,Unit 2_11,,2023-01-02 11:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 11:00:00,102.26,31,Unit 1_12,,2023-01-02 12:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 11:00:00,102.26,19,Unit 2_12,,2023-01-02 12:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 11:00:00,102.26,5,Unit 3_12,,2023-01-02 12:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 12:00:00,100,31,Unit 1_13,,2023-01-02 13:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 12:00:00,100,19,Unit 2_13,,2023-01-02 13:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 13:00:00,102.26,31,Unit 1_14,,2023-01-02 14:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 13:00:00,102.26,19,Unit 2_14,,2023-01-02 14:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
2023-01-02 13:00:00,102.26,5,Unit 3_14,,2023-01-02 14:00:00,EOM,,,west,102.26,example_05b_base,Unit 3,50
2023-01-02 14:00:00,100,31,Unit 1_15,,2023-01-02 15:00:00,EOM,,,north,40.884,example_05b_base,Unit 1,31
2023-01-02 14:00:00,100,19,Unit 2_15,,2023-01-02 15:00:00,EOM,,,east,70.884,example_05b_base,Unit 2,19
