datetime,uranium,lignite,hard coal,natural gas,oil,biomass,co2,steel,lime_co2_factor,lime,iron_ore
1/1/2019 0:00,0.9,1.8,8.506820597,25.86998717,21.67,20.7,50,577,0.44,100,100
1/1/2019 0:15,0.9,1.8,8.50697864,25.83966187,21.67,20.7,50,577,0.44,100,100
1/1/2019 0:30,0.9,1.8,8.507136682,25.80933657,21.67,20.7,50,577,0.44,100,100
1/1/2019 0:45,0.9,1.8,8.507294725,25.77901126,21.67,20.7,50,577,0.44,100,100
1/1/2019 1:00,0.9,1.8,8.507452767,25.74868596,21.67,20.7,50,577,0.44,100,100
1/1/2019 1:15,0.9,1.8,8.507610809,25.71836065,21.67,20.7,50,577,0.44,100,100
1/1/2019 1:30,0.9,1.8,8.507768852,25.68803535,21.67,20.7,50,577,0.44,100,100
1/1/2019 1:45,0.9,1.8,8.507926894,25.65771005,21.67,20.7,50,577,0.44,100,100
1/1/2019 2:00,0.9,1.8,8.508084937,25.62738474,21.67,20.7,50,577,0.44,100,100
1/1/2019 2:15,0.9,1.8,8.508242979,25.59705944,21.67,20.7,50,577,0.44,100,100
1/1/2019 2:30,0.9,1.8,8.508401022,25.56673414,21.67,20.7,50,577,0.44,100,100
1/1/2019 2:45,0.9,1.8,8.508559064,25.53640883,21.67,20.7,50,577,0.44,100,100
1/1/2019 3:00,0.9,1.8,8.508717107,25.50608353,21.67,20.7,50,577,0.44,100,100
1/1/2019 3:15,0.9,1.8,8.508875149,25.47575823,21.67,20.7,50,577,0.44,100,100
1/1/2019 3:30,0.9,1.8,8.509033191,25.44543292,21.67,20.7,50,577,0.44,100,100
1/1/2019 3:45,0.9,1.8,8.509191234,25.41510762,21.67,20.7,50,577,0.44,100,100
1/1/2019 4:00,0.9,1.8,8.509349276,25.38478232,21.67,20.7,50,577,0.44,100,100
1/1/2019 4:15,0.9,1.8,8.509533659,25.35863981,21.67,20.7,50,577,0.44,100,100
1/1/2019 4:30,0.9,1.8,8.509718042,25.33249731,21.67,20.7,50,577,0.44,100,100
1/1/2019 4:45,0.9,1.8,8.509902425,25.30635481,21.67,20.7,50,577,0.44,100,100
1/1/2019 5:00,0.9,1.8,8.510086808,25.28021231,21.67,20.7,50,577,0.44,100,100
1/1/2019 5:15,0.9,1.8,8.51027119,25.2540698,21.67,20.7,50,577,0.44,100,100
1/1/2019 5:30,0.9,1.8,8.510455573,25.2279273,21.67,20.7,50,577,0.44,100,100
1/1/2019 5:45,0.9,1.8,8.510639956,25.2017848,21.67,20.7,50,577,0.44,100,100
1/1/2019 6:00,0.9,1.8,8.510824339,25.17564229,21.67,20.7,50,577,0.44,100,100
1/1/2019 6:15,0.9,1.8,8.511008722,25.14949979,21.67,20.7,50,577,0.44,100,100
1/1/2019 6:30,0.9,1.8,8.511193105,25.12335729,21.67,20.7,50,577,0.44,100,100
1/1/2019 6:45,0.9,1.8,8.511377487,25.09721478,21.67,20.7,50,577,0.44,100,100
1/1/2019 7:00,0.9,1.8,8.51156187,25.07107228,21.67,20.7,50,577,0.44,100,100
1/1/2019 7:15,0.9,1.8,8.511746253,25.04492978,21.67,20.7,50,577,0.44,100,100
1/1/2019 7:30,0.9,1.8,8.511930636,25.01878728,21.67,20.7,50,577,0.44,100,100
1/1/2019 7:45,0.9,1.8,8.512115019,24.99264477,21.67,20.7,50,577,0.44,100,100
1/1/2019 8:00,0.9,1.8,8.512299402,24.96650227,21.67,20.7,50,577,0.44,100,100
1/1/2019 8:15,0.9,1.8,8.512457444,24.96754797,21.67,20.7,50,577,0.44,100,100
1/1/2019 8:30,0.9,1.8,8.512615486,24.96859367,21.67,20.7,50,577,0.44,100,100
1/1/2019 8:45,0.9,1.8,8.512773529,24.96963937,21.67,20.7,50,577,0.44,100,100
1/1/2019 9:00,0.9,1.8,8.512931571,24.97068507,21.67,20.7,50,577,0.44,100,100
1/1/2019 9:15,0.9,1.8,8.513089614,24.97173077,21.67,20.7,50,577,0.44,100,100
1/1/2019 9:30,0.9,1.8,8.513247656,24.97277647,21.67,20.7,50,577,0.44,100,100
1/1/2019 9:45,0.9,1.8,8.513405699,24.97382217,21.67,20.7,50,577,0.44,100,100
1/1/2019 10:00,0.9,1.8,8.513563741,24.97486787,21.67,20.7,50,577,0.44,100,100
1/1/2019 10:15,0.9,1.8,8.513721783,24.97591357,21.67,20.7,50,577,0.44,100,100
1/1/2019 10:30,0.9,1.8,8.513879826,24.97695927,21.67,20.7,50,577,0.44,100,100
1/1/2019 10:45,0.9,1.8,8.514037868,24.97800497,21.67,20.7,50,577,0.44,100,100
1/1/2019 11:00,0.9,1.8,8.514195911,24.97905067,21.67,20.7,50,577,0.44,100,100
1/1/2019 11:15,0.9,1.8,8.514353953,24.98009637,21.67,20.7,50,577,0.44,100,100
1/1/2019 11:30,0.9,1.8,8.514511996,24.98114207,21.67,20.7,50,577,0.44,100,100
1/1/2019 11:45,0.9,1.8,8.514670038,24.98218777,21.67,20.7,50,577,0.44,100,100
1/1/2019 12:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 12:15,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 12:30,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 12:45,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 13:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 13:15,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 13:30,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
1/1/2019 13:45,0.9,1.8,8.51482808,24.98323347,21.67,20.7,50,577,0.44,100,100
