datetime,DE6_hamburg_hydrogen_demand
1/1/2019 0:00,0.774686891
1/1/2019 0:15,1.223898768
1/1/2019 0:30,1.20803067
1/1/2019 0:45,1.56256389
1/1/2019 1:00,0.531282294
1/1/2019 1:15,1.419802454
1/1/2019 1:30,0.706520934
1/1/2019 1:45,1.50640111
1/1/2019 2:00,1.146925196
1/1/2019 2:15,1.579409382
1/1/2019 2:30,1.387779409
1/1/2019 2:45,1.24151136
1/1/2019 3:00,1.408201834
1/1/2019 3:15,1.14639928
1/1/2019 3:30,1.64466026
1/1/2019 3:45,0.713790852
1/1/2019 4:00,0.808179702
1/1/2019 4:15,0.415890338
1/1/2019 4:30,0.638506869
1/1/2019 4:45,0.399608526
1/1/2019 5:00,0.451460127
1/1/2019 5:15,1.259145825
1/1/2019 5:30,1.062292398
1/1/2019 5:45,0.633271025
1/1/2019 6:00,1.850632982
1/1/2019 6:15,1.093997002
1/1/2019 6:30,1.401503644
1/1/2019 6:45,0.519827802
1/1/2019 7:00,1.344428538
1/1/2019 7:15,0.463066298
1/1/2019 7:30,1.765544326
1/1/2019 7:45,0.389088406
1/1/2019 8:00,1.378462511
1/1/2019 8:15,0.556989963
1/1/2019 8:30,1.331099606
1/1/2019 8:45,1.423478287
1/1/2019 9:00,0.421023244
1/1/2019 9:15,0.815634716
1/1/2019 9:30,1.641260003
1/1/2019 9:45,1.719029565
1/1/2019 10:00,1.168402267
1/1/2019 10:15,0.844799348
1/1/2019 10:30,1.227456742
1/1/2019 10:45,0.588892438
1/1/2019 11:00,1.003979013
1/1/2019 11:15,1.456742612
1/1/2019 11:30,0.837214993
1/1/2019 11:45,1.279953643
1/1/2019 12:00,1.034804061
1/1/2019 12:15,1.60587309
1/1/2019 12:30,1.638617666
1/1/2019 12:45,1.191998745
1/1/2019 13:00,1.599974092
1/1/2019 13:15,0.885112975
1/1/2019 13:30,0.606633192
1/1/2019 13:45,1.264079917
1/1/2019 14:00,1.753694777
1/1/2019 14:15,1.262534355
1/1/2019 14:30,0.691551653
1/1/2019 14:45,0.649922019
1/1/2019 15:00,0.860550938
1/1/2019 15:15,1.856753348
1/1/2019 15:30,1.317608174
1/1/2019 15:45,1.394568963
1/1/2019 16:00,0.748132613
1/1/2019 16:15,1.075864988
1/1/2019 16:30,1.807245743
1/1/2019 16:45,1.323948768
1/1/2019 17:00,0.599750203
1/1/2019 17:15,0.485123124
1/1/2019 17:30,1.550325266
1/1/2019 17:45,1.735624536
1/1/2019 18:00,1.826448211
1/1/2019 18:15,1.012647077
1/1/2019 18:30,0.615530977
1/1/2019 18:45,0.656418073
1/1/2019 19:00,0.503657556
1/1/2019 19:15,1.281426887
1/1/2019 19:30,0.914681805
1/1/2019 19:45,0.823452021
1/1/2019 20:00,0.580930746
1/1/2019 20:15,1.123359369
1/1/2019 20:30,1.105864332
1/1/2019 20:45,0.824807212
1/1/2019 21:00,0.999482051
1/1/2019 21:15,1.293170257
1/1/2019 21:30,0.938061744
1/1/2019 21:45,0.943988684
1/1/2019 22:00,1.526774865
1/1/2019 22:15,0.924591001
1/1/2019 22:30,0.687777288
1/1/2019 22:45,0.400716451
