datetime,price_EOM,co2_price,electricity_price,electricity_price_flex,natural_gas_price,hydrogen_gas_price,coal_price,A360_clinker_demand,A360_baseline_power,A360_max_up,A360_max_down,A360_price_up,A360_price_down
2023-01-01 00:00:00,100,30,11.5,11.5,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 01:00:00,100,30,11.41,11.41,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 02:00:00,100,30,11.4,11.4,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 03:00:00,100,30,11.39,11.39,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 04:00:00,100,30,11.37,11.37,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 05:00:00,100,30,11.38,11.38,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-01 06:00:00,100,30,11.35,11.35,50,50,20,10.35048389,500.0,300.0,500.0,1,1
2023-01-01 07:00:00,100,30,11.38,11.38,50,50,20,10.46101805,500.0,300.0,500.0,1,1
2023-01-01 08:00:00,100,30,11.4,11.4,50,50,20,10.60839693,433.9615656,366.0384344,433.9615656,1,1
2023-01-01 09:00:00,100,30,11.44,11.44,50,50,20,10.60839693,136.7367101,663.2632899,136.7367101,1,1
2023-01-01 10:00:00,100,30,11.46,11.46,50,50,20,10.60839693,136.7367101,663.2632899,136.7367101,1,1
2023-01-01 11:00:00,100,30,11.94,11.94,50,50,20,10.60839693,136.7367101,663.2632899,136.7367101,1,1
2023-01-01 12:00:00,100,30,13.64,13.64,50,50,20,10.60839693,0.0,800.0,0.0,1,1
2023-01-01 13:00:00,100,30,13.36,13.36,50,50,20,10.60839693,0.0,800.0,0.0,1,1
2023-01-01 14:00:00,100,30,12.44,12.44,50,50,20,10.46101805,407.9147423,392.0852577,407.9147423,1,1
2023-01-01 15:00:00,100,30,15.06,15.06,50,50,20,10.35048389,133.4374095,666.5625905,133.4374095,1,1
2023-01-01 16:00:00,100,30,54.46,54.46,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 17:00:00,100,30,61.33,61.33,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 18:00:00,100,30,69.4,69.4,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 19:00:00,100,30,65.65,65.65,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 20:00:00,100,30,59.41,59.41,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 21:00:00,100,30,54.35,54.35,50,50,20,10.23994974,0.0,800.0,0.0,1,1
2023-01-01 22:00:00,100,30,58.49,58.49,50,50,20,10.17461072,0.0,800.0,0.0,1,1
2023-01-01 23:00:00,100,30,46.95,46.95,50,50,20,10.17461072,19.89944498,780.100555,19.89944498,1,1
2023-01-02 00:00:00,100,30,41.99,41.99,50,50,20,10.17461072,130.1566596,669.8433404,130.1566596,1,1
2023-01-02 01:00:00,100,30,31.47,31.47,50,50,20,10.17461072,260.4436062,539.5563938,260.4436062,1,1
2023-01-02 02:00:00,100,30,42.43,42.43,50,50,20,10.17461072,0.0,800.0,0.0,1,1
2023-01-02 03:00:00,100,30,29.79,29.79,50,50,20,10.17461072,161.6474447,638.3525553,161.6474447,1,1
2023-01-02 04:00:00,100,30,22.48,22.48,50,50,20,10.17461072,631.5678318,168.4321682,631.5678318,1,1
