,fuel_price_natural gas,fuel_price_co2,availability_pp_4,availability_pp_1,availability_pp_5,fuel_price_oil,residual_load_EOM,price_EOM,availability_pp_7,availability_pp_2,availability_pp_6,fuel_price_hard coal,fuel_price_biomass,fuel_price_uranium,demand_EOM,fuel_price_lignite,availability_pp_3
2019-01-01 00:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4352.7,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4352.7,1.8,1.0
2019-01-01 01:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4180.2,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4180.2,1.8,1.0
2019-01-01 02:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4011.3,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4011.3,1.8,1.0
2019-01-01 03:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3949.0,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3949.0,1.8,1.0
2019-01-01 04:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3927.3,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3927.3,1.8,1.0
2019-01-01 05:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3881.8,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3881.8,1.8,1.0
2019-01-01 06:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3816.8,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3816.8,1.8,1.0
2019-01-01 07:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3889.7,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3889.7,1.8,1.0
2019-01-01 08:00:00,26.0,25.0,1.0,1.0,1.0,22.0,3967.4,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,3967.4,1.8,1.0
2019-01-01 09:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4221.5,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4221.5,1.8,1.0
2019-01-01 10:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4491.2,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4491.2,1.8,1.0
2019-01-01 11:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4787.2,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4787.2,1.8,1.0
2019-01-01 12:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4916.5,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4916.5,1.8,1.0
2019-01-01 13:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4888.5,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4888.5,1.8,1.0
2019-01-01 14:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4865.0,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4865.0,1.8,1.0
2019-01-01 15:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4896.9,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4896.9,1.8,1.0
2019-01-01 16:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5081.1,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5081.1,1.8,1.0
2019-01-01 17:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5396.799999999999,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5396.799999999999,1.8,1.0
2019-01-01 18:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5468.9,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5468.9,1.8,1.0
2019-01-01 19:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5377.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5377.8,1.8,1.0
2019-01-01 20:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5154.7,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5154.7,1.8,1.0
2019-01-01 21:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4988.9,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4988.9,1.8,1.0
2019-01-01 22:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4884.1,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4884.1,1.8,1.0
2019-01-01 23:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4611.0,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4611.0,1.8,1.0
2019-01-02 00:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4406.4,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4406.4,1.8,1.0
2019-01-02 01:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4238.200000000001,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4238.200000000001,1.8,1.0
2019-01-02 02:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4187.0,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4187.0,1.8,1.0
2019-01-02 03:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4237.8,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4237.8,1.8,1.0
2019-01-02 04:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4408.8,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4408.8,1.8,1.0
2019-01-02 05:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4709.7,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4709.7,1.8,1.0
2019-01-02 06:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5273.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5273.2,1.8,1.0
2019-01-02 07:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5812.7,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5812.7,1.8,1.0
2019-01-02 08:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6132.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6132.2,1.8,1.0
2019-01-02 09:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6299.5,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6299.5,1.8,1.0
2019-01-02 10:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6415.1,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6415.1,1.8,1.0
2019-01-02 11:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6544.9,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6544.9,1.8,1.0
2019-01-02 12:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6573.9,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6573.9,1.8,1.0
2019-01-02 13:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6504.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6504.3,1.8,1.0
2019-01-02 14:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6382.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6382.2,1.8,1.0
2019-01-02 15:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6370.4,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6370.4,1.8,1.0
2019-01-02 16:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6489.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6489.2,1.8,1.0
2019-01-02 17:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6808.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6808.3,1.8,1.0
2019-01-02 18:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6782.9,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6782.9,1.8,1.0
2019-01-02 19:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6604.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6604.8,1.8,1.0
2019-01-02 20:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6233.6,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6233.6,1.8,1.0
2019-01-02 21:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5921.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5921.2,1.8,1.0
2019-01-02 22:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5728.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5728.8,1.8,1.0
2019-01-02 23:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5362.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5362.3,1.8,1.0
2019-01-03 00:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5068.0,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5068.0,1.8,1.0
2019-01-03 01:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4972.4,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4972.4,1.8,1.0
2019-01-03 02:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4943.7,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4943.7,1.8,1.0
2019-01-03 03:00:00,26.0,25.0,1.0,1.0,1.0,22.0,4932.7,36.15625,1.0,1.0,1.0,8.5,21.0,0.9,4932.7,1.8,1.0
2019-01-03 04:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5011.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5011.2,1.8,1.0
2019-01-03 05:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5273.1,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5273.1,1.8,1.0
2019-01-03 06:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5752.0,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5752.0,1.8,1.0
2019-01-03 07:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6190.0,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6190.0,1.8,1.0
2019-01-03 08:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6442.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6442.3,1.8,1.0
2019-01-03 09:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6578.9,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6578.9,1.8,1.0
2019-01-03 10:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6644.6,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6644.6,1.8,1.0
2019-01-03 11:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6742.900000000001,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6742.900000000001,1.8,1.0
2019-01-03 12:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6764.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6764.3,1.8,1.0
2019-01-03 13:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6643.6,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6643.6,1.8,1.0
2019-01-03 14:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6557.3,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6557.3,1.8,1.0
2019-01-03 15:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6492.1,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6492.1,1.8,1.0
2019-01-03 16:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6617.0,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6617.0,1.8,1.0
2019-01-03 17:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6923.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6923.8,1.8,1.0
2019-01-03 18:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6893.5,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6893.5,1.8,1.0
2019-01-03 19:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6697.5,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6697.5,1.8,1.0
2019-01-03 20:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6326.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6326.8,1.8,1.0
2019-01-03 21:00:00,26.0,25.0,1.0,1.0,1.0,22.0,6031.2,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,6031.2,1.8,1.0
2019-01-03 22:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5809.7,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5809.7,1.8,1.0
2019-01-03 23:00:00,26.0,25.0,1.0,1.0,1.0,22.0,5481.8,55.708333333333336,1.0,1.0,1.0,8.5,21.0,0.9,5481.8,1.8,1.0
