name,technology,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_SOC,max_SOC,variable_cost_charge,variable_cost_discharge,natural_inflow,unit_operator,bidding_energy,bidding_capacity_pos,bidding_capacity_neg
Tanzmühle - Rabenleite,PSPP,25.0,35.0,0.81,0.88,1.0,404.0,0.28,0.28,0.0,GDF SUEZ ENERGIE DEUTSCHLAND,flexable_eom_storage,,
Schwarzenbachwerk,PSPP,20.0,46.0,0.73,0.82,1.0,198.0,0.28,0.28,1.2,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Leitzach II,PSPP,38.0,49.0,0.86,0.9,1.0,550.0,0.28,0.28,0.7,STADTWERKE MUENCHEN GMBH,flexable_eom_storage,,
Leitzach I,PSPP,40.0,51.0,0.86,0.9,1.0,550.0,0.28,0.28,1.8,STADTWERKE MUENCHEN GMBH,flexable_eom_storage,,
Hohenwarte I,PSPP,34.0,63.0,0.8,0.87,1.0,504.0,0.28,0.28,1.9,VATTENFALL EUROPE AG,flexable_eom_storage,,
Bleiloch,PSPP,32.0,80.0,0.8,0.87,1.0,640.0,0.28,0.28,1.3,VATTENFALL EUROPE AG,flexable_eom_storage,,
Wendefurth,PSPP,72.0,80.0,0.82,0.88,1.0,523.0,0.28,0.28,0.0,VATTENFALL EUROPE AG,flexable_eom_storage,,
Glems,PSPP,68.0,90.0,0.84,0.89,1.0,560.0,0.28,0.28,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Reisach - Rabenleite,PSPP,84.0,100.0,0.85,0.9,1.0,630.0,0.28,0.28,0.0,GDF SUEZ ENERGIE DEUTSCHLAND,flexable_eom_storage,,
Geesthacht,PSPP,96.0,105.0,0.81,0.87,1.0,600.0,0.28,0.28,0.0,VATTENFALL EUROPE AG,flexable_eom_storage,,
Rönkhausen,PSPP,140.0,140.0,0.85,0.9,1.0,690.0,0.28,0.28,0.0,ENERVIE - SUEDWESTFALEN ENERGIE,flexable_eom_storage,,
Waldeck I,PSPP,96.0,140.0,0.87,0.92,1.0,478.0,0.28,0.28,0.0,UNIPER,flexable_eom_storage,,
Häusern,PSPP,104.0,144.0,0.82,0.88,1.0,514.0,0.28,0.28,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Koepchenwerk Herdecke II,PSPP,153.0,153.0,0.85,0.9,1.0,590.0,0.28,0.28,0.0,RWE POWER AG,flexable_eom_storage,,
Happurg,PSPP,126.0,160.0,0.83,0.89,1.0,900.0,0.28,0.28,0.0,UNIPER,flexable_eom_storage,,
Langenprozelten,PSPP,154.0,168.0,0.85,0.9,1.0,950.0,0.28,0.28,0.0,UNIPER,flexable_eom_storage,,
Waldshut,PSPP,80.0,176.0,0.79,0.86,1.0,581.0,0.28,0.28,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Erzhausen,PSPP,230.0,220.0,0.84,0.9,1.0,940.0,0.28,0.28,0.0,STATKRAFT AS,flexable_eom_storage,,
Witznau,PSPP,128.0,220.0,0.77,0.84,1.0,880.0,0.28,0.28,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Hohenwarte II,PSPP,310.0,320.0,0.8,0.87,1.0,2087.0,0.28,0.28,0.0,VATTENFALL EUROPE AG,flexable_eom_storage,,
Säckingen,PSPP,301.0,353.0,0.86,0.91,1.0,2064.0,0.28,0.28,1.8,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom_storage,,
Waldeck II,PSPP,476.0,440.0,0.87,0.92,1.0,3428.0,0.28,0.28,0.0,UNIPER,flexable_eom_storage,,
Wehr,PSPP,1000.0,992.0,0.86,0.9,1.0,6076.0,0.28,0.28,0.0,RWE POWER AG,flexable_eom_storage,,
Markersbach,PSPP,1140.0,1050.0,0.84,0.89,1.0,4018.0,0.28,0.28,0.0,VATTENFALL EUROPE AG,flexable_eom_storage,,
Goldisthal,PSPP,1140.0,1060.0,0.88,0.92,1.0,8480.0,0.28,0.28,0.0,VATTENFALL EUROPE AG,flexable_eom_storage,,
