name,technology,direction,bidding_EOM,max_power,min_power,price,unit_operator
export_DE_NL,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_NL_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_CH,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_CH_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_DK,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_DK_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_CZ,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_CZ_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_LU,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_LU_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_SE,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_SE_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_AT,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_AT_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_FR,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_FR_DE,n/a,import,naive_eom,1000000,0,0,eom_de	
export_DE_PL,n/a,export,naive_eom,1000000,0,2999,eom_de	
import_PL_DE,n/a,import,naive_eom,1000000,0,0,eom_de
