,source_temperature,sink_temperature
0,15,35
1,15,35
2,15,35
3,15,35
4,15,35
5,15,35
6,15,35
7,15,35
8,15,35
9,15,35
10,15,35
11,15,35
12,15,35
13,15,35
14,15,35
15,15,35
16,15,35
17,15,35
18,15,35
19,15,35
20,15,35
21,15,35
22,15,35
23,15,35
24,15,35
25,15,35
26,15,35
27,15,35
28,15,35
29,15,35
30,15,35
31,15,35
32,15,35
33,15,35
34,15,35
35,15,35
36,15,35
37,15,35
38,15,35
39,15,35
40,15,35
41,15,35
42,15,35
43,15,35
44,15,35
45,15,35
46,15,35
47,15,35
48,15,35
49,15,35
50,15,35
51,15,35
52,15,35
53,15,35
54,15,35
55,15,35
56,15,35
57,15,35
58,15,35
59,15,35
60,15,35
61,15,35
62,15,35
63,15,35
64,15,35
65,15,35
66,15,35
67,15,35
68,15,35
69,15,35
70,15,35
71,15,35
72,15,35
73,15,35
74,15,35
75,15,35
76,15,35
77,15,35
78,15,35
79,15,35
80,15,35
81,15,35
82,15,35
83,15,35
84,15,35
85,15,35
86,15,35
87,15,35
88,15,35
89,15,35
90,15,35
91,15,35
92,15,35
93,15,35
94,15,35
95,15,35
96,15,35
97,15,35
98,15,35
99,15,35
100,15,35
101,15,35
102,15,35
103,15,35
104,15,35
105,15,35
106,15,35
107,15,35
108,15,35
109,15,35
110,15,35
111,15,35
112,15,35
113,15,35
114,15,35
115,15,35
116,15,35
117,15,35
118,15,35
119,15,35
120,15,35
121,15,35
122,15,35
123,15,35
124,15,35
125,15,35
126,15,35
127,15,35
128,15,35
129,15,35
130,15,35
131,15,35
132,15,35
133,15,35
134,15,35
135,15,35
136,15,35
137,15,35
138,15,35
139,15,35
140,15,35
141,15,35
142,15,35
143,15,35
144,15,35
145,15,35
146,15,35
147,15,35
148,15,35
149,15,35
150,15,35
151,15,35
152,15,35
153,15,35
154,15,35
155,15,35
156,15,35
157,15,35
158,15,35
159,15,35
160,15,35
161,15,35
162,15,35
163,15,35
164,15,35
165,15,35
166,15,35
167,15,35
168,15,35
169,15,35
170,15,35
171,15,35
172,15,35
173,15,35
174,15,35
175,15,35
176,15,35
177,15,35
178,15,35
179,15,35
180,15,35
181,15,35
182,15,35
183,15,35
184,15,35
185,15,35
186,15,35
187,15,35
188,15,35
