,datetime,power,market_id,unit_id,simulation
0,2018-12-31 23:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2018-12-31 23:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 01:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 01:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 02:00:00,1474.5774647887324,EOM,KKW ISAR 2,example_03
0,2019-01-01 02:00:00,-1474.5774647887324,EOM,AS-HEATPUMP,example_03
0,2019-01-01 03:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 03:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 04:00:00,1459.8309859154929,EOM,KKW ISAR 2,example_03
0,2019-01-01 04:00:00,-1459.8309859154929,EOM,AS-HEATPUMP,example_03
0,2019-01-01 05:00:00,1478.9650349650349,EOM,KKW ISAR 2,example_03
0,2019-01-01 05:00:00,-1478.9650349650349,EOM,AS-HEATPUMP,example_03
0,2019-01-01 06:00:00,1464.9859154929577,EOM,KKW ISAR 2,example_03
0,2019-01-01 06:00:00,-1464.9859154929577,EOM,AS-HEATPUMP,example_03
0,2019-01-01 07:00:00,1439.2394366197184,EOM,KKW ISAR 2,example_03
0,2019-01-01 07:00:00,-1439.2394366197184,EOM,AS-HEATPUMP,example_03
0,2019-01-01 08:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 08:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 09:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 09:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 10:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 10:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 11:00:00,1437.4507042253522,EOM,KKW ISAR 2,example_03
0,2019-01-01 11:00:00,-1437.4507042253522,EOM,AS-HEATPUMP,example_03
0,2019-01-01 12:00:00,1472.7132867132866,EOM,KKW ISAR 2,example_03
0,2019-01-01 12:00:00,-1472.7132867132866,EOM,AS-HEATPUMP,example_03
0,2019-01-01 13:00:00,1431.7676056338028,EOM,KKW ISAR 2,example_03
0,2019-01-01 13:00:00,-1431.7676056338028,EOM,AS-HEATPUMP,example_03
0,2019-01-01 14:00:00,1452.1971830985915,EOM,KKW ISAR 2,example_03
0,2019-01-01 14:00:00,-1452.1971830985915,EOM,AS-HEATPUMP,example_03
0,2019-01-01 15:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 15:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 16:00:00,1443.4507042253522,EOM,KKW ISAR 2,example_03
0,2019-01-01 16:00:00,-1443.4507042253522,EOM,AS-HEATPUMP,example_03
0,2019-01-01 17:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 17:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 18:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 18:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 19:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 19:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 20:00:00,1450.5845070422536,EOM,KKW ISAR 2,example_03
0,2019-01-01 20:00:00,-1450.5845070422536,EOM,AS-HEATPUMP,example_03
0,2019-01-01 21:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 21:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-01 22:00:00,1434.3239436619717,EOM,KKW ISAR 2,example_03
0,2019-01-01 22:00:00,-1434.3239436619717,EOM,AS-HEATPUMP,example_03
0,2019-01-01 23:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-01 23:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-02,1453.979020979021,EOM,KKW ISAR 2,example_03
0,2019-01-02,-1453.979020979021,EOM,AS-HEATPUMP,example_03
0,2019-01-02 01:00:00,1485.0,EOM,KKW ISAR 2,example_03
0,2019-01-02 01:00:00,-1485.0,EOM,AS-HEATPUMP,example_03
0,2019-01-02 02:00:00,1454.3916083916083,EOM,KKW ISAR 2,example_03
