datetime,aggregator_electric_vehicle_EV_0_availability_profile,aggregator_electric_vehicle_EV_0_trip_energy_consumption,aggregator_electric_vehicle_EV_1_availability_profile,aggregator_electric_vehicle_EV_1_trip_energy_consumption,aggregator_electric_vehicle_EV_2_availability_profile,aggregator_electric_vehicle_EV_2_trip_energy_consumption,aggregator_electric_vehicle_EV_3_availability_profile,aggregator_electric_vehicle_EV_3_trip_energy_consumption,aggregator_electric_vehicle_EV_4_availability_profile,aggregator_electric_vehicle_EV_4_trip_energy_consumption,aggregator_electric_vehicle_EV_5_availability_profile,aggregator_electric_vehicle_EV_5_trip_energy_consumption
2019-03-01 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 01:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 02:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 03:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 04:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 05:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 06:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 07:00:00,0.0,0.00125,1.0,0.0,1.0,0.0,0.0,0.0013636363636363635,0.0,0.0016666666666666666,1.0,0.0
2019-03-01 08:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 09:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 10:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 11:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 12:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 13:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 14:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 15:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,0.0,0.0016666666666666666,0.0,0.0013636363636363635
2019-03-01 16:00:00,0.0,0.00125,0.0,0.0016666666666666666,0.0,0.0013636363636363635,0.0,0.0013636363636363635,1.0,0.0,0.0,0.0013636363636363635
2019-03-01 17:00:00,0.0,0.00125,1.0,0.0,0.0,0.0013636363636363635,0.0,0.0013636363636363635,1.0,0.0,0.0,0.0013636363636363635
2019-03-01 18:00:00,0.0,0.00125,1.0,0.0,0.0,0.0013636363636363635,1.0,0.0,1.0,0.0,0.0,0.0013636363636363635
2019-03-01 19:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 20:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 21:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 22:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-01 23:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 01:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 02:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 03:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 04:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 05:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 06:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 07:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 08:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2019-03-02 09:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
