start_time,end_time,price,volume,node,bid_id,unit_id,accepted_volume,accepted_price,market_id,bid_type,simulation
2019-01-01 01:00:00,2019-01-01 02:00:00,25.452,50,south,KKW PHILIPPSBURG 2_1,KKW PHILIPPSBURG 2,50,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 02:00:00,2019-01-01 03:00:00,25.452,100,south,KKW PHILIPPSBURG 2_2,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 03:00:00,2019-01-01 04:00:00,25.452,100,south,KKW PHILIPPSBURG 2_3,KKW PHILIPPSBURG 2,67.287,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 04:00:00,2019-01-01 05:00:00,25.452,100,south,KKW PHILIPPSBURG 2_4,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 05:00:00,2019-01-01 06:00:00,25.452,100,south,KKW PHILIPPSBURG 2_5,KKW PHILIPPSBURG 2,88.477,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 06:00:00,2019-01-01 07:00:00,25.452,100,south,KKW PHILIPPSBURG 2_6,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 07:00:00,2019-01-01 08:00:00,25.452,100,south,KKW PHILIPPSBURG 2_7,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 08:00:00,2019-01-01 09:00:00,25.452,100,south,KKW PHILIPPSBURG 2_8,KKW PHILIPPSBURG 2,70.62,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 09:00:00,2019-01-01 10:00:00,25.452,100,south,KKW PHILIPPSBURG 2_9,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 10:00:00,2019-01-01 11:00:00,25.452,100,south,KKW PHILIPPSBURG 2_10,KKW PHILIPPSBURG 2,30.298,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 11:00:00,2019-01-01 12:00:00,25.452,100,south,KKW PHILIPPSBURG 2_11,KKW PHILIPPSBURG 2,5.2238,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 12:00:00,2019-01-01 13:00:00,25.452,100,south,KKW PHILIPPSBURG 2_12,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 13:00:00,2019-01-01 14:00:00,25.452,100,south,KKW PHILIPPSBURG 2_13,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 18:00:00,2019-01-01 19:00:00,25.452,100,south,KKW PHILIPPSBURG 2_18,KKW PHILIPPSBURG 2,90.927,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 19:00:00,2019-01-01 20:00:00,25.452,100,south,KKW PHILIPPSBURG 2_19,KKW PHILIPPSBURG 2,97.297,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 20:00:00,2019-01-01 21:00:00,25.452,100,south,KKW PHILIPPSBURG 2_20,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 21:00:00,2019-01-01 22:00:00,25.452,100,south,KKW PHILIPPSBURG 2_21,KKW PHILIPPSBURG 2,28.247,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 22:00:00,2019-01-01 23:00:00,25.452,100,south,KKW PHILIPPSBURG 2_22,KKW PHILIPPSBURG 2,50.703,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
2019-01-01 23:00:00,2019-01-02 00:00:00,25.452,100,south,KKW PHILIPPSBURG 2_23,KKW PHILIPPSBURG 2,100,25.452,EOM,,tutorial_09_steel_plant_Day_Ahead
