datetime,EOM,EOM_sell,awattar,EGHSt1
01/01/2024 00:00,0.2028,0.035,0.00935,0.2028
01/01/2024 00:15,0.2028,0.035,0.0070375,0.2028
01/01/2024 00:30,0.2028,0.035,0.004725,0.2028
01/01/2024 00:45,0.2028,0.035,0.0024125,0.2028
01/01/2024 01:00,0.2028,0.035,0.0001,0.2028
01/01/2024 01:15,0.2028,0.035,0.0000775,0.2028
01/01/2024 01:30,0.2028,0.035,0.000055,0.2028
01/01/2024 01:45,0.2028,0.035,0.0000325,0.2028
01/01/2024 02:00,0.2028,0.035,0.00001,0.2028
01/01/2024 02:15,0.2028,0.035,0.0000125,0.2028
01/01/2024 02:30,0.2028,0.035,0.000015,0.2028
01/01/2024 02:45,0.2028,0.035,0.0000175,0.2028
01/01/2024 03:00,0.2028,0.035,0.00002,0.2028
01/01/2024 03:15,0.2028,0.035,0.000015,0.2028
01/01/2024 03:30,0.2028,0.035,0.00001,0.2028
01/01/2024 03:45,0.2028,0.035,0.000005,0.2028
01/01/2024 04:00,0.2028,0.035,0,0.2028
01/01/2024 04:15,0.2028,0.035,-0.0000025,0.2028
01/01/2024 04:30,0.2028,0.035,-0.000005,0.2028
01/01/2024 04:45,0.2028,0.035,-0.0000075,0.2028
01/01/2024 05:00,0.2028,0.035,-0.00001,0.2028
01/01/2024 05:15,0.2028,0.035,-0.00001,0.2028
01/01/2024 05:30,0.2028,0.035,-0.00001,0.15363
01/01/2024 05:45,0.2028,0.035,-0.00001,0.15237
01/01/2024 06:00,0.2028,0.035,-0.00001,0.15475
01/01/2024 06:15,0.2028,0.035,-0.0000075,0.15428
01/01/2024 06:30,0.2028,0.035,-0.000005,0.2028
01/01/2024 06:45,0.2028,0.035,-0.0000025,0.2028
01/01/2024 07:00,0.2028,0.035,0,0.2028
01/01/2024 07:15,0.2028,0.035,0,0.2028
01/01/2024 07:30,0.2028,0.035,0,0.2028
01/01/2024 07:45,0.2028,0.035,0,0.2028
01/01/2024 08:00,0.2028,0.035,0,0.2028
01/01/2024 08:15,0.2028,0.035,0,0.2028
01/01/2024 08:30,0.2028,0.035,0,0.2028
01/01/2024 08:45,0.2028,0.035,0,0.20116
01/01/2024 09:00,0.2028,0.035,0,0.19781
01/01/2024 09:15,0.2028,0.035,0.00001,0.2028
01/01/2024 09:30,0.2028,0.035,0.00002,0.2028
01/01/2024 09:45,0.2028,0.035,0.00003,0.2028
01/01/2024 10:00,0.2028,0.035,0.00004,0.2028
01/01/2024 10:15,0.2028,0.035,0.000045,0.2028
01/01/2024 10:30,0.2028,0.035,0.00005,0.2028
01/01/2024 10:45,0.2028,0.035,0.000055,0.1983
01/01/2024 11:00,0.2028,0.035,0.00006,0.2028
01/01/2024 11:15,0.2028,0.035,0.00018,0.19371
01/01/2024 11:30,0.2028,0.035,0.0003,0.2028
01/01/2024 11:45,0.2028,0.035,0.00042,0.19145
01/01/2024 12:00,0.2028,0.035,0.00054,0.2028
01/01/2024 12:15,0.2028,0.035,0.000965,0.2028
01/01/2024 12:30,0.2028,0.035,0.00139,0.1846
01/01/2024 12:45,0.2028,0.035,0.001815,0.2028
01/01/2024 13:00,0.2028,0.035,0.00224,0.19129
01/01/2024 13:15,0.2028,0.035,0.002325,0.2028
01/01/2024 13:30,0.2028,0.035,0.00241,0.2028
01/01/2024 13:45,0.2028,0.035,0.002495,0.2028
01/01/2024 14:00,0.2028,0.035,0.00258,0.2028
01/01/2024 14:15,0.2028,0.035,0.0032575,0.17522
01/01/2024 14:30,0.2028,0.035,0.003935,0.18513
01/01/2024 14:45,0.2028,0.035,0.0046125,0.2028
01/01/2024 15:00,0.2028,0.035,0.00529,0.2028
01/01/2024 15:15,0.2028,0.035,0.0095225,0.2028
01/01/2024 15:30,0.2028,0.035,0.013755,0.14035
01/01/2024 15:45,0.2028,0.035,0.0179875,0.13378
01/01/2024 16:00,0.2028,0.035,0.02222,0.13634
01/01/2024 16:15,0.2028,0.035,0.0285675,0.13557
01/01/2024 16:30,0.2028,0.035,0.034915,0.2028
01/01/2024 16:45,0.2028,0.035,0.0412625,0.2028
01/01/2024 17:00,0.2028,0.035,0.04761,0.2028
01/01/2024 17:15,0.2028,0.035,0.04984,0.2028
01/01/2024 17:30,0.2028,0.035,0.05207,0.2028
01/01/2024 17:45,0.2028,0.035,0.0543,0.2028
01/01/2024 18:00,0.2028,0.035,0.05653,0.2028
01/01/2024 18:15,0.2028,0.035,0.0571625,0.13376
01/01/2024 18:30,0.2028,0.035,0.057795,0.2028
01/01/2024 18:45,0.2028,0.035,0.0584275,0.13482
01/01/2024 19:00,0.2028,0.035,0.05906,0.13403
01/01/2024 19:15,0.2028,0.035,0.0580475,0.13527
01/01/2024 19:30,0.2028,0.035,0.057035,0.13407
01/01/2024 19:45,0.2028,0.035,0.0560225,0.13808
01/01/2024 20:00,0.2028,0.035,0.05501,0.2028
01/01/2024 20:15,0.2028,0.035,0.0534475,0.2028
01/01/2024 20:30,0.2028,0.035,0.051885,0.2028
01/01/2024 20:45,0.2028,0.035,0.0503225,0.2028
01/01/2024 21:00,0.2028,0.035,0.04876,0.2028
01/01/2024 21:15,0.2028,0.035,0.04691,0.2028
01/01/2024 21:30,0.2028,0.035,0.04506,0.2028
01/01/2024 21:45,0.2028,0.035,0.04321,0.2028
01/01/2024 22:00,0.2028,0.035,0.04136,0.2028
01/01/2024 22:15,0.2028,0.035,0.0425075,0.2028
01/01/2024 22:30,0.2028,0.035,0.043655,0.2028
01/01/2024 22:45,0.2028,0.035,0.0448025,0.2028
01/01/2024 23:00,0.2028,0.035,0.04595,0.2028
01/01/2024 23:15,0.2028,0.035,0.04335,0.2028
01/01/2024 23:30,0.2028,0.035,0.04075,0.2028
01/01/2024 23:45,0.2028,0.035,0.03815,0.2028
01/02/2024 00:00,0.2028,0.035,0.03555,0.2028
01/02/2024 00:15,0.2028,0.035,0.0339675,0.2028
01/02/2024 00:30,0.2028,0.035,0.032385,0.2028
01/02/2024 00:45,0.2028,0.035,0.0308025,0.2028
01/02/2024 01:00,0.2028,0.035,0.02922,0.2028
01/02/2024 01:15,0.2028,0.035,0.02681,0.2028
01/02/2024 01:30,0.2028,0.035,0.0244,0.2028
01/02/2024 01:45,0.2028,0.035,0.02199,0.2028
01/02/2024 02:00,0.2028,0.035,0.01958,0.2028
01/02/2024 02:15,0.2028,0.035,0.0215775,0.2028
01/02/2024 02:30,0.2028,0.035,0.023575,0.2028
01/02/2024 02:45,0.2028,0.035,0.0255725,0.2028
01/02/2024 03:00,0.2028,0.035,0.02757,0.2028
01/02/2024 03:15,0.2028,0.035,0.024595,0.2028
01/02/2024 03:30,0.2028,0.035,0.02162,0.2028
01/02/2024 03:45,0.2028,0.035,0.018645,0.2028
01/02/2024 04:00,0.2028,0.035,0.01567,0.2028
01/02/2024 04:15,0.2028,0.035,0.014175,0.2028
01/02/2024 04:30,0.2028,0.035,0.01268,0.2028
01/02/2024 04:45,0.2028,0.035,0.011185,0.2028
01/02/2024 05:00,0.2028,0.035,0.00969,0.2028
01/02/2024 05:15,0.2028,0.035,0.014165,0.2028
01/02/2024 05:30,0.2028,0.035,0.01864,0.2028
01/02/2024 05:45,0.2028,0.035,0.023115,0.2028
01/02/2024 06:00,0.2028,0.035,0.02759,0.2028
01/02/2024 06:15,0.2028,0.035,0.031965,0.2028
01/02/2024 06:30,0.2028,0.035,0.03634,0.2028
01/02/2024 06:45,0.2028,0.035,0.040715,0.2028
01/02/2024 07:00,0.2028,0.035,0.04509,0.2028
01/02/2024 07:15,0.2028,0.035,0.05029,0.2028
01/02/2024 07:30,0.2028,0.035,0.05549,0.2028
01/02/2024 07:45,0.2028,0.035,0.06069,0.2028
01/02/2024 08:00,0.2028,0.035,0.06589,0.2028
01/02/2024 08:15,0.2028,0.035,0.067165,0.2028
01/02/2024 08:30,0.2028,0.035,0.06844,0.2028
01/02/2024 08:45,0.2028,0.035,0.069715,0.2028
01/02/2024 09:00,0.2028,0.035,0.07099,0.13471
01/02/2024 09:15,0.2028,0.035,0.07073,0.2028
01/02/2024 09:30,0.2028,0.035,0.07047,0.2028
01/02/2024 09:45,0.2028,0.035,0.07021,0.13591
01/02/2024 10:00,0.2028,0.035,0.06995,0.2028
01/02/2024 10:15,0.2028,0.035,0.07012,0.2028
01/02/2024 10:30,0.2028,0.035,0.07029,0.2028
01/02/2024 10:45,0.2028,0.035,0.07046,0.2028
01/02/2024 11:00,0.2028,0.035,0.07063,0.2028
01/02/2024 11:15,0.2028,0.035,0.071465,0.2028
01/02/2024 11:30,0.2028,0.035,0.0723,0.2028
01/02/2024 11:45,0.2028,0.035,0.073135,0.13445
01/02/2024 12:00,0.2028,0.035,0.07397,0.2028
01/02/2024 12:15,0.2028,0.035,0.07494,0.13435
01/02/2024 12:30,0.2028,0.035,0.07591,0.2028
01/02/2024 12:45,0.2028,0.035,0.07688,0.2028
01/02/2024 13:00,0.2028,0.035,0.07785,0.2028
01/02/2024 13:15,0.2028,0.035,0.0780375,0.2028
01/02/2024 13:30,0.2028,0.035,0.078225,0.13481
01/02/2024 13:45,0.2028,0.035,0.0784125,0.2028
01/02/2024 14:00,0.2028,0.035,0.0786,0.2028
01/02/2024 14:15,0.2028,0.035,0.07905,0.19993
01/02/2024 14:30,0.2028,0.035,0.0795,0.2028
01/02/2024 14:45,0.2028,0.035,0.07995,0.19972
01/02/2024 15:00,0.2028,0.035,0.0804,0.2028
01/02/2024 15:15,0.2028,0.035,0.08055,0.2028
01/02/2024 15:30,0.2028,0.035,0.0807,0.15623
01/02/2024 15:45,0.2028,0.035,0.08085,0.16113
01/02/2024 16:00,0.2028,0.035,0.081,0.16001
01/02/2024 16:15,0.2028,0.035,0.08164,0.15766
01/02/2024 16:30,0.2028,0.035,0.08228,0.15732
01/02/2024 16:45,0.2028,0.035,0.08292,0.1582
01/02/2024 17:00,0.2028,0.035,0.08356,0.15501
01/02/2024 17:15,0.2028,0.035,0.08341,0.15369
01/02/2024 17:30,0.2028,0.035,0.08326,0.1549
01/02/2024 17:45,0.2028,0.035,0.08311,0.15852
01/02/2024 18:00,0.2028,0.035,0.08296,0.15765
01/02/2024 18:15,0.2028,0.035,0.08154,0.15099
01/02/2024 18:30,0.2028,0.035,0.08012,0.13527
01/02/2024 18:45,0.2028,0.035,0.0787,0.2028
01/02/2024 19:00,0.2028,0.035,0.07728,0.2028
01/02/2024 19:15,0.2028,0.035,0.0751925,0.2028
01/02/2024 19:30,0.2028,0.035,0.073105,0.13789
01/02/2024 19:45,0.2028,0.035,0.0710175,0.14168
01/02/2024 20:00,0.2028,0.035,0.06893,0.13998
01/02/2024 20:15,0.2028,0.035,0.06641,0.16149
01/02/2024 20:30,0.2028,0.035,0.06389,0.16612
01/02/2024 20:45,0.2028,0.035,0.06137,0.15873
01/02/2024 21:00,0.2028,0.035,0.05885,0.13587
01/02/2024 21:15,0.2028,0.035,0.0560975,0.2028
01/02/2024 21:30,0.2028,0.035,0.053345,0.2028
01/02/2024 21:45,0.2028,0.035,0.0505925,0.2028
01/02/2024 22:00,0.2028,0.035,0.04784,0.2028
01/02/2024 22:15,0.2028,0.035,0.0461425,0.2028
01/02/2024 22:30,0.2028,0.035,0.044445,0.2028
01/02/2024 22:45,0.2028,0.035,0.0427475,0.2028
01/02/2024 23:00,0.2028,0.035,0.04105,0.2028
01/02/2024 23:15,0.2028,0.035,0.0358925,0.2028
01/02/2024 23:30,0.2028,0.035,0.030735,0.2028
01/02/2024 23:45,0.2028,0.035,0.0255775,0.2028
01/03/2024 00:00,0.2028,0.035,0.02042,0.2028
01/03/2024 00:15,0.2028,0.035,0.0181725,0.2028
01/03/2024 00:30,0.2028,0.035,0.015925,0.2028
01/03/2024 00:45,0.2028,0.035,0.0136775,0.2028
01/03/2024 01:00,0.2028,0.035,0.01143,0.2028
01/03/2024 01:15,0.2028,0.035,0.0111225,0.2028
01/03/2024 01:30,0.2028,0.035,0.010815,0.2028
01/03/2024 01:45,0.2028,0.035,0.0105075,0.2028
01/03/2024 02:00,0.2028,0.035,0.0102,0.2028
01/03/2024 02:15,0.2028,0.035,0.0100625,0.2028
01/03/2024 02:30,0.2028,0.035,0.009925,0.2028
01/03/2024 02:45,0.2028,0.035,0.0097875,0.2028
01/03/2024 03:00,0.2028,0.035,0.00965,0.2028
01/03/2024 03:15,0.2028,0.035,0.0095875,0.2028
01/03/2024 03:30,0.2028,0.035,0.009525,0.2028
01/03/2024 03:45,0.2028,0.035,0.0094625,0.2028
01/03/2024 04:00,0.2028,0.035,0.0094,0.2028
01/03/2024 04:15,0.2028,0.035,0.00954,0.2028
01/03/2024 04:30,0.2028,0.035,0.00968,0.2028
01/03/2024 04:45,0.2028,0.035,0.00982,0.2028
01/03/2024 05:00,0.2028,0.035,0.00996,0.2028
01/03/2024 05:15,0.2028,0.035,0.01012,0.2028
01/03/2024 05:30,0.2028,0.035,0.01028,0.2028
01/03/2024 05:45,0.2028,0.035,0.01044,0.2028
01/03/2024 06:00,0.2028,0.035,0.0106,0.2028
01/03/2024 06:15,0.2028,0.035,0.01343,0.2028
01/03/2024 06:30,0.2028,0.035,0.01626,0.2028
01/03/2024 06:45,0.2028,0.035,0.01909,0.2028
01/03/2024 07:00,0.2028,0.035,0.02192,0.2028
01/03/2024 07:15,0.2028,0.035,0.0272575,0.2028
01/03/2024 07:30,0.2028,0.035,0.032595,0.2028
01/03/2024 07:45,0.2028,0.035,0.0379325,0.13728
01/03/2024 08:00,0.2028,0.035,0.04327,0.13785
01/03/2024 08:15,0.2028,0.035,0.0479325,0.2028
01/03/2024 08:30,0.2028,0.035,0.052595,0.13637
01/03/2024 08:45,0.2028,0.035,0.0572575,0.2028
01/03/2024 09:00,0.2028,0.035,0.06192,0.13559
01/03/2024 09:15,0.2028,0.035,0.0625275,0.13498
01/03/2024 09:30,0.2028,0.035,0.063135,0.14306
01/03/2024 09:45,0.2028,0.035,0.0637425,0.14068
01/03/2024 10:00,0.2028,0.035,0.06435,0.1429
01/03/2024 10:15,0.2028,0.035,0.06318,0.14004
01/03/2024 10:30,0.2028,0.035,0.06201,0.14579
01/03/2024 10:45,0.2028,0.035,0.06084,0.13944
01/03/2024 11:00,0.2028,0.035,0.05967,0.14164
01/03/2024 11:15,0.2028,0.035,0.0590225,0.14317
01/03/2024 11:30,0.2028,0.035,0.058375,0.14194
01/03/2024 11:45,0.2028,0.035,0.0577275,0.2028
01/03/2024 12:00,0.2028,0.035,0.05708,0.13358
